Code,Sequence,Email,Active
INSP-0001-ALFA,1,user0001@inspirt.ai,true
INSP-0002-BETA,2,user0002@inspirt.ai,true
INSP-0003-GAMA,3,user0003@inspirt.ai,true
INSP-0004-DELT,4,user0004@inspirt.ai,true
INSP-0005-ECHO,5,user0005@inspirt.ai,true
INSP-0006-FXTX,6,user0006@inspirt.ai,true
INSP-0007-GOLF,7,user0007@inspirt.ai,true
INSP-0008-HOTL,8,user0008@inspirt.ai,true
INSP-0009-INDI,9,user0009@inspirt.ai,true
INSP-0010-JULI,10,user0010@inspirt.ai,true
INSP-0011-KILO,11,user0011@inspirt.ai,true
INSP-0012-LIMA,12,user0012@inspirt.ai,true
INSP-0013-MIKE,13,user0013@inspirt.ai,true
INSP-0014-NOVA,14,user0014@inspirt.ai,true
INSP-0015-OSCA,15,user0015@inspirt.ai,true
INSP-0016-PAPA,16,user0016@inspirt.ai,true
INSP-0017-QUBE,17,user0017@inspirt.ai,true
INSP-0018-ROME,18,user0018@inspirt.ai,true
INSP-0019-SIER,19,user0019@inspirt.ai,true
INSP-0020-TANG,20,user0020@inspirt.ai,true
INSP-0021-UNIC,21,user0021@inspirt.ai,true
INSP-0022-VICT,22,user0022@inspirt.ai,true
INSP-0023-WHIS,23,user0023@inspirt.ai,true
INSP-0024-XRAY,24,user0024@inspirt.ai,true
INSP-0025-YANK,25,user0025@inspirt.ai,true
INSP-0026-ZULU,26,user0026@inspirt.ai,true
INSP-0027-APEX,27,user0027@inspirt.ai,true
INSP-0028-CORE,28,user0028@inspirt.ai,true
INSP-0029-FLUX,29,user0029@inspirt.ai,true
INSP-0030-HAWK,30,user0030@inspirt.ai,true
INSP-0031-IRON,31,user0031@inspirt.ai,true
INSP-0032-JADE,32,user0032@inspirt.ai,true
INSP-0033-KING,33,user0033@inspirt.ai,true
INSP-0034-LYNX,34,user0034@inspirt.ai,true
INSP-0035-MARS,35,user0035@inspirt.ai,true
INSP-0036-NEON,36,user0036@inspirt.ai,true
INSP-0037-OPUS,37,user0037@inspirt.ai,true
INSP-0038-PEAK,38,user0038@inspirt.ai,true
INSP-0039-QUAD,39,user0039@inspirt.ai,true
INSP-0040-RUSH,40,user0040@inspirt.ai,true
INSP-0041-SYNC,41,user0041@inspirt.ai,true
INSP-0042-TIDE,42,user0042@inspirt.ai,true
INSP-0043-UNIX,43,user0043@inspirt.ai,true
INSP-0044-VOLT,44,user0044@inspirt.ai,true
INSP-0045-WAVE,45,user0045@inspirt.ai,true
INSP-0046-XENO,46,user0046@inspirt.ai,true
INSP-0047-YAML,47,user0047@inspirt.ai,true
INSP-0048-ZERO,48,user0048@inspirt.ai,true
INSP-0049-ATOM,49,user0049@inspirt.ai,true
INSP-0050-BYTE,50,user0050@inspirt.ai,true
INSP-0051-CODE,51,user0051@inspirt.ai,true
INSP-0052-DATA,52,user0052@inspirt.ai,true
INSP-0053-EDGE,53,user0053@inspirt.ai,true
INSP-0054-FIRE,54,user0054@inspirt.ai,true
INSP-0055-GRID,55,user0055@inspirt.ai,true
